rowname,x,y;;;
20940176935,18.455397,-33.944928;;;
20940176936,18.455652,-33.945228;;;20940176935    
20940176937,18.455865,-33.945245;;;
20940176938,18.454537,-33.942208;;;
20940176939,18.453732,-33.942368;;;
20940176940,18.454008,-33.942328;;;
20940176941,18.463797,-33.95043;;;
20940176942,18.462192,-33.95287;;;
20940176943,18.461448,-33.95271;;;
20940176944,18.461098,-33.950735;;;
20940176945,18.456282,-33.950873;;;
20940176946,18.455402,-33.950727;;;
20940176947,18.455392,-33.950668;;;
20940176948,18.454492,-33.951392;;;
20940176949,18.448883,-33.959777;;;
20940176950,18.452583,-33.960237;;;
20940176951,18.460428,-33.953293;;;
20940176952,18.459577,-33.950505;;;
20940176953,18.450302,-33.949492;;;
20940176954,18.450038,-33.949568;;;
20940176955,18.44993,-33.949613;;;
20940176956,18.451973,-33.965673;;;
20940176957,18.45235,-33.966445;;;
20940176958,18.451985,-33.966755;;;
20940176959,18.451677,-33.963008;;;
20940176960,18.448288,-33.959847;;;
20940176961,18.448292,-33.9599;;;
20940176962,18.448328,-33.959928;;;
20940176963,18.44833,-33.959863;;;
20940176964,18.448117,-33.959868;;;
20940176965,18.448338,-33.959957;;;
20940176966,18.44839,-33.959885;;;
20940176967,18.448542,-33.95968;;;
20940176968,18.448385,-33.959983;;;
20940176969,18.448327,-33.959908;;;
20940176970,18.448323,-33.959992;;;
20940176971,18.448733,-33.95942;;;
20940176972,18.448583,-33.95937;;;
20940176973,18.451467,-33.958577;;;
20940176974,18.453537,-33.958533;;;
20940176975,18.453678,-33.958537;;;
20940176976,18.457258,-33.956403;;;
20940176977,18.457237,-33.9564;;;
20940176978,18.457405,-33.95637;;;
20940176979,18.45696,-33.956515;;;
20940176980,18.457223,-33.956382;;;
20940176981,18.457153,-33.956375;;;
20940176982,18.45879,-33.953712;;;
20940176983,18.458013,-33.954033;;;
20940176984,18.456835,-33.954058;;;
20940176985,18.456677,-33.953763;;;
20940176986,18.458253,-33.947773;;;
20940176987,18.458313,-33.94737;;;
20940176988,18.458348,-33.94661;;;
20940176989,18.45832,-33.946693;;;
20940176990,18.458318,-33.946628;;;
20940176991,18.458262,-33.946638;;;
20940176992,18.45843,-33.94679;;;
20940176993,18.458723,-33.946623;;;
20940176994,18.458758,-33.946413;;;
20940176995,18.458865,-33.946298;;;
20940176996,18.458748,-33.94643;;;
